100	Comunicare In Medii Electronice	1	1	5
101	Algoritmi si Programare	1	1	5
102	Limba Engleza 1	1	1	5
103	Arhitectura Calculatoarelor si Sisteme de Operare	1	1	5
104	Logica pentru Informatica	1	1	5
105	Matematica	1	1	5
106	Sisteme de operare	2	1	5
107	Limba Engleza 2	2	1	5
108	Fundamentele algebrice ale informaticii	2	1	5
109	Programare orientata-obiect	2	1	5
110	Probabilitati si statistica	2	1	5
111	Practica Hardware	2	1	5
112	Limbaje formale automate si compilatoare	1	2	5
113	Limba Engleza 3	1	2	5
114	Teoria jocurilor	1	2	5
115	Retele de calculatoare	1	2	5
116	Baze de date	1	2	5
117	Algoritmica grafurilor	1	2	5
118	Practica SGBD	2	2	5
119	Ingineria programarii	2	2	5
120	Tehnici avansate de programare (Java)	2	2	5
121	Modele continue si Matlab	2	2	5
122	Tehnologii web	2	2	5
123	Limba Engleza 4	2	2	5
124	Calcul numeric	1	3	5
125	Securitatea informatiei	1	3	5
126	Programare in C#	1	3	5
127	Client web	1	3	5
128	Practica licenta 1	1	3	5
129	Proiectarea algoritmilor	1	3	5
130	Grafica pe calculator	2	3	5
131	Practica licenta 2	2	3	5
132	Capitole speciale C#	2	3	5
133	Cloud computing	2	3	5
134	Analiza retelelor media sociale	2	3	5
135	Capitole speciale sisteme de operare	2	3	5